[21:39:28] [main/INFO]: ModLauncher running: args [--username, nolybutt, --version, 1.21.1, --gameDir, C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted, --assetsDir, C:\Users\nolyn\AppData\Roaming\ATLauncher\assets, --assetIndex, 17, --uuid, 1eb4eefd-5d54-4f3d-b561-998578914989, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.213, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width=1280, --height=720]
[21:39:28] [main/INFO]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[21:39:28] [main/INFO]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[21:39:28] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[21:39:28] [main/INFO]: Trying GL version 4.6
[21:39:28] [main/INFO]: Requested GL version 4.6 got version 4.6
[21:39:28] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/nolyn/AppData/Roaming/ATLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23121!/ Service=ModLauncher Env=CLIENT
[21:39:28] [main/INFO]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.213:client]
[21:39:28] [main/INFO]: Found mod file "neoforge-21.1.213-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\nolyn\AppData\Roaming\ATLauncher\libraries\net\neoforged\neoforge\21.1.213\neoforge-21.1.213-universal.jar]], reader: mod manifest]
[21:39:28] [main/INFO]: Found library file "~nonexistent" [locator: org.sinytra.connector.locator.ConnectorEarlyLocatorBootstrap@2b5cb9b2]
[21:39:28] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 5070 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.57, NVIDIA Corporation
[21:39:28] [main/INFO]: Found mod file "AdvancedPeripherals-1.21.1-0.7.57b.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "almostunified-neoforge-1.21.1-1.3.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "Aquaculture-1.21.1-2.7.14.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "aquaculturedelight-1.2.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "AsyncParticles-3.3.11+1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "athena-neoforge-1.21-4.0.2.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "atmosphericwatergenerator-1.0.9-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "balanced_crates-1.8.2.1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "bellsandwhistles-0.4.7-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "betterblockz-0.1.4.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "BiomesOPlenty-neoforge-1.21.1-21.1.0.12.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "bloodmoon-neoforge-1.0.0-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "c2me-neoforge-mc1.21.1-0.3.0+alpha.0.82.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cabletiers-neoforge-1.21.1-0.5.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "caelus-neoforge-7.0.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cc-tweaked-1.21.1-forge-1.116.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cccbridge-mc1.21.1-v1.7.2-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cig_craft-0.7-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cmlinkedremote-1.1.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "coffee_delight-1.4.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "collective-1.21.1-8.11.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "compatdelight-1.0.1.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "copycats-3.0.2+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "Corgilib-NeoForge-1.21.1-5.0.0.7.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "corn_delight-1.1.8-1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cratedelight-25.09.22-1.21-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "cratedelightcroptopia-24.12.27-1.21-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "Create Encased-1.21.1-1.7.2-fix1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create-1.21.1-6.0.6.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create-central-kitchen-2.2.4.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create-dragons-plus-1.8.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create-integrated-farming-1.1.2b.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create-otbwg-compat-1.0.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create-stuff-additions1.21.1_v2.1.0e.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_bb-1.0.5-1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_better_motors-3.1.5.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_connected-1.1.6-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
[21:39:28] [main/INFO]: Found mod file "create_cultivation-0.1.3.jar" [locator: {mods folder locator at C:\Users\nolyn\AppData\Roaming\ATLauncher\instances\SaltWaterBassBoosted\mods}, reader: mod manifest]
